Run ID,Player ID,Place,Speedrun Time,Verified,Examiner ID,Platform ID,Platform Name,Category ID,Category Name,Player Name,Player Country,Player Pronouns
z52pxdnz,x7wz67q8,171,15.767,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,niel_008,br,Not Mentioned
mkkr2v5m,xymz9nmx,171,15.767,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,VtzznN7,Not Mentioned,Not Mentioned
m7x0k65y,8rlm3eq8,171,15.767,TRUE,8l0qwkr8,lq60nl94,Android,zd3l938d,Coins,zRafa3L,Not Mentioned,Not Mentioned
yl7njdkm,jpo9woy8,177,15.782,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Loubaca,Not Mentioned,Not Mentioned
yvrgdv8z,xkmw419j,178,15.791,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,xxx_vinny,br,He/Him
z522o9gz,j4vwe2wj,179,15.8,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,saiki501,br,He/Him
y88k3ewy,j92k9vr8,179,15.8,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,SG_masterpigman,us,He/Him
zp9k4xrm,8v6nqw5x,179,15.8,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,giahuyphanpham2907,vn,Not Mentioned
yvr7p16z,jm3mpze8,179,15.8,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Mending,Not Mentioned,Not Mentioned
znp2ng3m,jn2qk02j,183,15.817,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Rafaelmazzi,Not Mentioned,Not Mentioned
yvv6x2oy,xyokw0wj,183,15.817,TRUE,48g7zm18,gde3xgek,iOS,zd3l938d,Coins,Personlol,us,He/Him
ydwj87jm,8r2or1dx,185,15.833,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Twerkyz,br,He/Him
